 ;Variables en supervision;;;;;;;;;;;;;;;Tests Variables Supervision J-10;;;;;;Tests Variables Supervision Migration SEMERU;;;;;;Recettes Variables Supervision MOE/Client;;;;;;;Tests Variables IHM;;;;;;Tests Variables Archivage;;;;;;Description Variables en supervision;;;;;;;;;;;;;;;;;;;;;   ;"DOUBLON A VERIFIER
23;MN_;DC1;G;TB;_M_;STH___;________;NV0R703_;WD;TA;P01;;MN_.DC1.G.TB._M_.STH___.________.NV0R703_.WD.TA.P01;51;DEF COMMUNICATION SONDE STH R703;NT;08/06/2026;WMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TA;NORMAL;DEFAUT;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW795.0;;;;;;R703;SWI-MN-R703;;;;;;; ; ; ; ;;MOX-MN-R703;"3
-100 / 201";;;;R703;Sonde RTU;;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;MN_;DC1;G;TB;_M_;STH___;TTA_____;NV0R702_;BS;TM;P01;;MN_.DC1.G.TB._M_.STH___.TTA_____.NV0R702_.BS.TM.P01;51;MES TEMPERATURE AMBIANTE SONDE STH R702;NT;08/06/2026;WMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TM;;;;;;;°C;;0 / 50;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39602;;;;;;R703;SWI-MN-R703;;;;;;; ; ; ; ;;MOX-MN-R703;"3
-100 / 202";;;;R702;Sonde RTU;%MW1;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;MN_;DC1;G;TB;_M_;STH___;SHY_____;NV0R702_;HY;TM;P01;;MN_.DC1.G.TB._M_.STH___.SHY_____.NV0R702_.HY.TM.P01;51;MES HYGROMETRIE AMBIANTE SONDE STH R702;NT;08/06/2026;WMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TM;;;;;;;%;;0 / 100;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39603;;;;;;R703;SWI-MN-R703;;;;;;; ; ; ; ;;MOX-MN-R703;"3
-100 / 202";;;;R702;Sonde RTU;%MW3;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;MN_;DC1;G;TB;_M_;STH___;________;NV0R702_;WD;TA;P01;;MN_.DC1.G.TB._M_.STH___.________.NV0R702_.WD.TA.P01;51;DEF COMMUNICATION SONDE STH R702;NT;08/06/2026;WMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TA;NORMAL;DEFAUT;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW795.1;;;;;;R703;SWI-MN-R703;;;;;;; ; ; ; ;;MOX-MN-R703;"3
-100 / 202";;;;R702;Sonde RTU;;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;MN_;DC1;G;TB;_M_;STH___;TTA_____;NV0R705B;BS;TM;P01;;MN_.DC1.G.TB._M_.STH___.TTA_____.NV0R705B.BS.TM.P01;51;MES TEMPERATURE AMBIANTE SONDE STH R705B;NT;08/06/2026;WMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TM;;;;;;;°C;;0 / 50;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39610;;;;;;R703;SWI-MN-R703;;;;;;; ; ; ; ;;MOX-MN-R703;"4
0 / 201";;;;R705B;Sonde RTU;%MW1;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;MN_;DC1;G;TB;_M_;STH___;SHY_____;NV0R705B;HY;TM;P01;;MN_.DC1.G.TB._M_.STH___.SHY_____.NV0R705B.HY.TM.P01;51;MES HYGROMETRIE AMBIANTE SONDE STH R705B;NT;08/06/2026;WMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TM;;;;;;;%;;0 / 100;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39611;;;;;;R703;SWI-MN-R703;;;;;;; ; ; ; ;;MOX-MN-R703;"4
0 / 201";;;;R705B;Sonde RTU;%MW3;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;MN_;DC1;G;TB;_M_;STH___;________;NV0R705B;WD;TA;P01;;MN_.DC1.G.TB._M_.STH___.________.NV0R705B.WD.TA.P01;51;DEF COMMUNICATION SONDE STH R705B;NT;08/06/2026;WMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TA;NORMAL;DEFAUT;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW795.5;;;;;;R703;SWI-MN-R703;;;;;;; ; ; ; ;;MOX-MN-R703;"4
0 / 201";;;;R705B;Sonde RTU;;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;MN_;DC1;G;TB;_M_;STH___;TTA_____;NV0R705A;BS;TM;P01;;MN_.DC1.G.TB._M_.STH___.TTA_____.NV0R705A.BS.TM.P01;51;MES TEMPERATURE AMBIANTE SONDE STH R705A;NT;08/06/2026;WMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TM;;;;;;;°C;;0 / 50;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39612;;;;;;R703;SWI-MN-R703;;;;;;; ; ; ; ;;MOX-MN-R703;"4
0 / 202";;;;R705A;Sonde RTU;%MW1;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;MN_;DC1;G;TB;_M_;STH___;SHY_____;NV0R705A;HY;TM;P01;;MN_.DC1.G.TB._M_.STH___.SHY_____.NV0R705A.HY.TM.P01;51;MES HYGROMETRIE AMBIANTE SONDE STH R705A;NT;08/06/2026;WMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TM;;;;;;;%;;0 / 100;;;;;#,##u;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW39613;;;;;;R703;SWI-MN-R703;;;;;;; ; ; ; ;;MOX-MN-R703;"4
0 / 202";;;;R705A;Sonde RTU;%MW3;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;MN_;DC1;G;TB;_M_;STH___;________;NV0R705A;WD;TA;P01;;MN_.DC1.G.TB._M_.STH___.________.NV0R705A.WD.TA.P01;51;DEF COMMUNICATION SONDE STH R705A;NT;08/06/2026;WMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TA;NORMAL;DEFAUT;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;"R708
1109B";"SWI-MN-R708
SWI-MN-1109B";"API-R708-CFO
API-1109B-CFO";%MW795.6;;;;;;R703;SWI-MN-R703;;;;;;; ; ; ; ;;MOX-MN-R703;"4
0 / 202";;;;R705A;Sonde RTU;;;;;;;;Connecteur DB9;Marron;Blanc;;LIYCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;
